neighborhood,address,room_num,floor,area,num_of_payments,monthly_arnona,url,building_tax,garden_area
הצפון הישן החלק המרכזי,דיזנגוף 222,1.0,,43.0,12.0,370.0,https://www.ad.co.il/ad/16217661,,
לב תל אביב החלק הצפוני,הירקון 66,2.0,,40.0,12.0,250.0,https://www.ad.co.il/ad/16195692,200.0,
לב תל אביב החלק הצפוני,רציף הירקון 78,3.0,,180.0,12.0,3000.0,https://www.ad.co.il/ad/15086644,2900.0,
לב תל אביב החלק הצפוני,בוגרשוב 96,3.0,,80.0,4.0,,https://www.ad.co.il/ad/16109472,,
הצפון הישן החלק המרכזי,ארלוזורוב 35,3.0,,70.0,12.0,240.0,https://www.ad.co.il/ad/16145737,190.0,
לב תל אביב החלק הצפוני,בן יהודה 33,1.0,,30.0,12.0,55.0,https://www.ad.co.il/ad/16210888,100.0,
הצפון הישן החלק המרכזי,עמנואל הרומי 30,2.0,,40.0,12.0,100.0,https://www.ad.co.il/ad/15953921,100.0,
הצפון הישן החלק המרכזי,ארלוזורוב 50,3.0,,70.0,11.0,250.0,https://www.ad.co.il/ad/15894434,50.0,
הצפון הישן החלק המרכזי,וורמיזה 5,2.5,,65.0,12.0,400.0,https://www.ad.co.il/ad/16206752,150.0,
לב תל אביב החלק הצפוני,טשרניחובסקי 6,1.0,,40.0,12.0,200.0,https://www.ad.co.il/ad/15218560,100.0,
לב תל אביב החלק הצפוני,מרכז בעלי מלאכה 27,2.5,,50.0,12.0,200.0,https://www.ad.co.il/ad/14482284,80.0,
הצפון הישן החלק המרכזי,נחום סוקולוב 4,4.0,,120.0,12.0,600.0,https://www.ad.co.il/ad/16200666,350.0,
הצפון הישן החלק המרכזי,אהרון דוד גורדון 6,4.0,,100.0,12.0,600.0,https://www.ad.co.il/ad/16199712,250.0,
לב תל אביב החלק הצפוני,מרמורק 28,3.0,,40.0,6.0,1000.0,https://www.ad.co.il/ad/16204603,250.0,
הצפון הישן החלק המרכזי,בן יהודה 130,3.0,,90.0,12.0,100.0,https://www.ad.co.il/ad/14173708,100.0,
הצפון הישן החלק המרכזי,ארבע ארצות 3,3.0,,75.0,12.0,500.0,https://www.ad.co.il/ad/16192780,250.0,
הצפון הישן החלק המרכזי,יהושע בן נון 4,3.0,,70.0,12.0,650.0,https://www.ad.co.il/ad/16190753,80.0,
הצפון הישן החלק המרכזי,ארלוזורוב 6,4.0,,95.0,12.0,500.0,https://www.ad.co.il/ad/16189778,200.0,
הצפון הישן החלק המרכזי,וורמיזה 15,4.0,,130.0,12.0,600.0,https://www.ad.co.il/ad/16152772,3000.0,18.0
לב תל אביב החלק הצפוני,בן יהודה 44,2.0,,45.0,12.0,450.0,https://www.ad.co.il/ad/16164993,200.0,
הצפון הישן החלק המרכזי,ויזל 3,2.0,,70.0,12.0,650.0,https://www.ad.co.il/ad/16088869,150.0,
