neighborhood,address,room_num,floor,area,num_of_payments,url,monthly_arnona,building_tax,garden_area,distance_from_dizengoff
לב תל אביב החלק הצפוני,"מיכ""ל 1",3.0,,90.0,12.0,https://www.ad.co.il/ad/16217932,,,,2294.0
הצפון הישן החלק המרכזי,דיזנגוף 222,1.0,,45.0,12.0,https://www.ad.co.il/ad/16218882,370.0,200.0,,1178.0
לב תל אביב החלק הצפוני,הירקון 66,2.0,,40.0,12.0,https://www.ad.co.il/ad/16195692,250.0,200.0,,943.0
לב תל אביב החלק הצפוני,רציף הירקון 78,3.0,,180.0,12.0,https://www.ad.co.il/ad/15086644,3000.0,2900.0,,919.0
לב תל אביב החלק הצפוני,בוגרשוב 96,3.0,,80.0,4.0,https://www.ad.co.il/ad/16109472,,,,566.0
הצפון הישן החלק המרכזי,ארלוזורוב 35,3.0,,70.0,12.0,https://www.ad.co.il/ad/16145737,240.0,190.0,,1110.0
לב תל אביב החלק הצפוני,בן יהודה 33,1.0,,30.0,12.0,https://www.ad.co.il/ad/16210888,55.0,100.0,,763.0
הצפון הישן החלק המרכזי,עמנואל הרומי 30,2.0,,40.0,12.0,https://www.ad.co.il/ad/15953921,100.0,100.0,,1614.0
הצפון הישן החלק המרכזי,ארלוזורוב 50,3.0,,70.0,11.0,https://www.ad.co.il/ad/15894434,250.0,50.0,,1112.0
הצפון הישן החלק המרכזי,וורמיזה 5,2.5,,65.0,12.0,https://www.ad.co.il/ad/16206752,400.0,150.0,,1246.0
לב תל אביב החלק הצפוני,טשרניחובסקי 6,1.0,,40.0,12.0,https://www.ad.co.il/ad/15218560,200.0,100.0,,974.0
לב תל אביב החלק הצפוני,מרכז בעלי מלאכה 27,2.5,,50.0,12.0,https://www.ad.co.il/ad/14482284,200.0,80.0,,1240.0
הצפון הישן החלק המרכזי,נחום סוקולוב 4,4.0,,120.0,12.0,https://www.ad.co.il/ad/16200666,600.0,350.0,,1075.0
הצפון הישן החלק המרכזי,אהרון דוד גורדון 6,4.0,,100.0,12.0,https://www.ad.co.il/ad/16199712,600.0,250.0,,1143.0
לב תל אביב החלק הצפוני,מרמורק 28,3.0,,40.0,6.0,https://www.ad.co.il/ad/16204603,1000.0,250.0,,1214.0
הצפון הישן החלק המרכזי,בן יהודה 130,3.0,,90.0,12.0,https://www.ad.co.il/ad/14173708,100.0,100.0,,892.0
הצפון הישן החלק המרכזי,ארבע ארצות 3,3.0,,75.0,12.0,https://www.ad.co.il/ad/16192780,500.0,250.0,,1076.0
הצפון הישן החלק המרכזי,יהושע בן נון 4,3.0,,70.0,12.0,https://www.ad.co.il/ad/16190753,650.0,80.0,,1238.0
הצפון הישן החלק המרכזי,ארלוזורוב 6,4.0,,95.0,12.0,https://www.ad.co.il/ad/16189778,500.0,200.0,,1271.0
הצפון הישן החלק המרכזי,וורמיזה 15,4.0,,130.0,12.0,https://www.ad.co.il/ad/16152772,600.0,3000.0,18.0,1331.0
לב תל אביב החלק הצפוני,בן יהודה 44,2.0,,45.0,12.0,https://www.ad.co.il/ad/16164993,450.0,200.0,,718.0
הצפון הישן החלק המרכזי,ויזל 3,2.0,,70.0,12.0,https://www.ad.co.il/ad/16088869,650.0,150.0,,849.0
לב תל אביב החלק הצפוני,טשרניחובסקי 3,3.0,,70.0,12.0,https://www.ad.co.il/ad/16069681,500.0,150.0,,1008.0
הצפון הישן החלק המרכזי,סוקולוב 3,3.0,,85.0,12.0,https://www.ad.co.il/ad/16069609,750.0,360.0,,1072.0
לב תל אביב החלק הצפוני,פינסקר 5,3.0,,75.0,12.0,https://www.ad.co.il/ad/16068607,650.0,200.0,,738.0
הצפון הישן החלק המרכזי,דיזנגוף 168,3.0,,70.0,12.0,https://www.ad.co.il/ad/16067980,,195.0,,736.0
הצפון הישן החלק המרכזי,ארלוזורוב 33,2.0,,52.0,12.0,https://www.ad.co.il/ad/16060355,450.0,250.0,,1104.0
הצפון הישן החלק המרכזי,שדרות בן גוריון 3,2.0,,70.0,12.0,https://www.ad.co.il/ad/16060191,500.0,250.0,,1074.0
לב תל אביב החלק הצפוני,החשמונאים 55,3.0,,60.0,12.0,https://www.ad.co.il/ad/16057351,430.0,,,1195.0
הצפון הישן החלק המרכזי,לסל 7,3.0,,70.0,12.0,https://www.ad.co.il/ad/16046915,500.0,250.0,,1036.0
הצפון הישן החלק המרכזי,אהרון דוד גורדון 5,2.0,,60.0,12.0,https://www.ad.co.il/ad/16028668,500.0,250.0,,1137.0
הצפון הישן החלק המרכזי,ז'בוטינסקי 6,3.0,,70.0,12.0,https://www.ad.co.il/ad/16023116,900.0,250.0,,1496.0
לב תל אביב החלק הצפוני,פינסקר 3,1.5,,36.0,12.0,https://www.ad.co.il/ad/15971986,240.0,120.0,,769.0
לב תל אביב החלק הצפוני,המלך ג'ורג' 4,2.0,,60.0,12.0,https://www.ad.co.il/ad/15862039,500.0,300.0,,1161.0
לב תל אביב החלק הצפוני,פינסקר 17,2.0,,55.0,12.0,https://www.ad.co.il/ad/16043237,150.0,170.0,,616.0
לב תל אביב החלק הצפוני,בוקי בן יגלי 4,2.5,,600.0,12.0,https://www.ad.co.il/ad/15794405,500.0,500.0,,700.0
לב תל אביב החלק הצפוני,טשרניחובסקי 3,2.0,,40.0,12.0,https://www.ad.co.il/ad/15750358,400.0,100.0,,1008.0
לב תל אביב החלק הצפוני,רבנו תם 9,3.0,,85.0,12.0,https://www.ad.co.il/ad/15745162,500.0,200.0,,853.0
הצפון הישן החלק המרכזי,רחל 8,3.0,,87.0,12.0,https://www.ad.co.il/ad/15695084,1000.0,260.0,,967.0
הצפון הישן החלק המרכזי,רחל 4,3.0,,89.0,12.0,https://www.ad.co.il/ad/15599541,700.0,300.0,,1007.0
